PropiedadJuridicaId;PropiedadJuridicaCodigo;PropiedadJuridicaNombre;Activo;FechaRegistro;FechaModifica
1;01;Oficial 01;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
6;02;Oficial 02;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
7;03;Oficial 03;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
8;11;No oficial 11;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
9;12;No oficial 12;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
10;13;No oficial 13;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
11;14;No oficial 14;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
12;15;No oficial 15;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
13;16;No oficial 16;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
14;17;No oficial 17;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
15;99;No oficial 99;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
