EscalafonId;EscalafonCodigo;EscalafonNombre;Activo;FechaRegistro;FechaModifica
1;1;SE Sin escalafón;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
2;10;01;1;2013-02-03 00:00:00.000;2013-02-03 00:00:00.000
3;11;02;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
4;12;03;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
5;13;04;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
6;14;05;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
7;15;06;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
8;16;07;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
9;17;08;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
10;18;09;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
11;19;10;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
12;2;BC Bachiller;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
13;20;11;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
14;21;12;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
15;22;13;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
16;23;14;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
17;24;1A;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
18;25;1B;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
19;26;1C;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
20;27;1D;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
21;28;2A;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
22;29;2B;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
23;3;PT Profesional técnico o tecnológico;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
24;30;2C;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
25;31;2D;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
26;32;3A;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
27;33;3B;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
28;34;3C;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
29;35;3D;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
30;4;PU Profesional universitario;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
31;5;IA Instructor II-A;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
32;6;IB Instructor III-B;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
33;7;IC Instructor IV-C;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
34;8;A;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
35;9;B;1;2013-02-02 07:00:00.000;2013-02-03 00:00:00.000
